Entrance_Latitude,Entrance_Longitude,entrance_georeference
40.7500954,-73.9881516,POINT (-73.9881516 40.7500954)
40.75089,-73.9881058,POINT (-73.9881058 40.75089)
40.7507006,-73.9880439,POINT (-73.9880439 40.7507006)
40.750665,-73.9873465,POINT (-73.9873465 40.750665)
40.7502992,-73.9870932,POINT (-73.9870932 40.7502992)
40.7504148,-73.9869775,POINT (-73.9869775 40.7504148)
40.748851,-73.988718,POINT (-73.988718 40.748851)
40.7429882,-73.9932331,POINT (-73.9932331 40.7429882)
40.7431327,-73.9931221,POINT (-73.9931221 40.7431327)
40.7429076,-73.9930407,POINT (-73.9930407 40.7429076)
40.7430566,-73.9929343,POINT (-73.9929343 40.7430566)
40.7427557,-73.9926758,POINT (-73.9926758 40.7427557)
40.7429067,-73.9925842,POINT (-73.9925842 40.7429067)
40.7426666,-73.9924656,POINT (-73.9924656 40.7426666)
40.7428161,-73.9923624,POINT (-73.9923624 40.7428161)
40.7374199,-73.9971973,POINT (-73.9971973 40.7374199)
40.7375639,-73.9970916,POINT (-73.9970916 40.7375639)
40.7373646,-73.9970658,POINT (-73.9970658 40.7373646)
40.7375147,-73.9969619,POINT (-73.9969619 40.7375147)
40.7373522,-73.9965383,POINT (-73.9965383 40.7373522)
40.7372847,-73.9964203,POINT (-73.9964203 40.7372847)
40.7387078,-73.9961093,POINT (-73.9961093 40.7387078)
40.738836,-73.9960133,POINT (-73.9960133 40.738836)
40.7385661,-73.9957692,POINT (-73.9957692 40.7385661)
40.7386847,-73.9956583,POINT (-73.9956583 40.7386847)
40.7252073,-73.9965618,POINT (-73.9965618 40.7252073)
40.7255227,-73.9963556,POINT (-73.9963556 40.7255227)
40.7250257,-73.9957848,POINT (-73.9957848 40.7250257)
40.7253547,-73.9956173,POINT (-73.9956173 40.7253547)
40.7249867,-73.9956115,POINT (-73.9956115 40.7249867)
40.7253157,-73.9954983,POINT (-73.9954983 40.7253157)
40.7183694,-73.9938821,POINT (-73.9938821 40.7183694)
40.7181896,-73.9935609,POINT (-73.9935609 40.7181896)
40.718155,-73.993452,POINT (-73.993452 40.718155)
40.723682,-73.9916677,POINT (-73.9916677 40.723682)
40.7239689,-73.9912799,POINT (-73.9912799 40.7239689)
40.7227919,-73.9889701,POINT (-73.9889701 40.7227919)
40.7232077,-73.9888803,POINT (-73.9888803 40.7232077)
40.7183827,-73.9884421,POINT (-73.9884421 40.7183827)
40.7181166,-73.9882986,POINT (-73.9882986 40.7181166)
40.7187876,-73.9882306,POINT (-73.9882306 40.7187876)
40.7189431,-73.9878719,POINT (-73.9878719 40.7189431)
40.7181556,-73.9882593,POINT (-73.9882593 40.7181556)
40.7189985,-73.987826,POINT (-73.987826 40.7189985)
40.7142366,-73.9903537,POINT (-73.9903537 40.7142366)
40.7127305,-73.9902171,POINT (-73.9902171 40.7127305)
